Date,Open,High,Low,Close,Volume,Adj Close
4/13/1984,46.88,47.38,45.5,46,4112000,3.13
4/12/1984,46,46.88,44.88,46.88,12210400,3.19
4/11/1984,50.13,50.38,46,46,10356800,3.13
4/10/1984,49.63,50.63,49.63,50.13,2069600,3.41
4/9/1984,51.25,51.25,49.63,49.63,2318400,3.38
4/6/1984,50.63,51.5,50.63,51.25,2636800,3.49
4/5/1984,51.38,51.5,50.63,50.63,1296000,3.45
4/4/1984,51,51.63,51,51.38,934400,3.5
4/3/1984,51.25,51.25,50.75,50.88,1687200,3.46
4/2/1984,51.25,51.63,50.5,51.25,1817600,3.49
3/30/1984,52.5,52.5,50.88,51.25,1508800,3.49
3/29/1984,52.5,52.75,52,52.63,2960000,3.58
3/28/1984,50,52.5,49.88,52.5,4538400,3.57
3/27/1984,50.13,50.38,49.88,50,1434400,3.4
3/26/1984,49.63,50.75,49.63,50.13,4644000,3.41
3/23/1984,49.13,49.38,48.63,49.38,2867200,3.36
3/22/1984,49.88,49.88,48.75,49.13,1688800,3.34
3/21/1984,50,50.38,49.63,50.13,1928800,3.41
3/20/1984,49.75,50,49.63,50,2974400,3.4
3/19/1984,49.5,49.75,49,49.75,1404000,3.39
3/16/1984,49,49.88,49,49.5,5571200,3.37
3/15/1984,49,49.13,48.25,48.38,1132800,3.29
3/14/1984,48.25,49.5,48.25,49,3114400,3.34
3/13/1984,48.5,48.88,48.25,48.25,2577600,3.28
3/12/1984,45.75,48.75,45.75,48.5,3299200,3.3
3/9/1984,45.63,45.75,45.25,45.5,1324000,3.1
3/8/1984,46,46,45.5,45.63,1834400,3.11
3/7/1984,46.13,46.25,45.75,46.13,1364000,3.14
3/6/1984,45.13,46.5,45.13,46.13,1369600,3.14
3/5/1984,45.38,45.5,45,45.13,1443200,3.07
3/2/1984,44.63,45.75,44.63,45.38,1371200,3.09
3/1/1984,45.38,45.88,44.63,44.63,1680800,3.04
2/29/1984,45.13,45.75,45,45.38,1298400,3.09
2/28/1984,46.25,46.25,44.63,45.13,1858400,3.07
2/27/1984,46.75,46.75,46,46.38,1388800,3.16
2/24/1984,45.25,47,45,47,2709600,3.2
2/23/1984,44.88,45.5,44.63,45.25,2625600,3.08
2/22/1984,44.5,45.38,44.38,44.88,1625600,3.05
2/21/1984,45.13,45.38,44.38,44.5,549600,3.03
2/17/1984,46.13,46.13,45.13,45.13,1169600,3.07
2/16/1984,46,46.13,45.63,46.13,932000,3.14
2/15/1984,46.25,47,45.88,46,3499200,3.13
2/14/1984,45.13,46.25,45.13,46.25,1441600,3.15
2/13/1984,44.88,45.25,44.5,45.13,1903200,3.07
2/10/1984,44.75,45.25,44.75,44.88,1344000,3.05
2/9/1984,45.25,45.88,44.75,44.75,3448000,3.05
2/8/1984,47,47,44.88,45.25,4138400,3.08
2/7/1984,46.63,47,45.63,47,3761600,3.2
2/6/1984,47.25,47.25,46.25,46.63,1816800,3.17
2/3/1984,48.63,48.75,47.5,47.5,2480800,3.23
2/2/1984,47.5,48.75,47.5,48.63,2800000,3.31
2/1/1984,48.38,49,47.38,47.38,2438400,3.22
1/31/1984,47.75,48.75,47.63,48.38,1294400,3.29
1/30/1984,49,49.13,47.63,47.75,1537600,3.25
1/27/1984,49.13,49.13,48.38,49,1770400,3.34
1/26/1984,49.13,50.13,48.88,49.13,2643200,3.34
1/25/1984,49.13,50,49.13,49.13,3543200,3.34
1/24/1984,48.88,49.75,48.88,49,3474400,3.34
1/23/1984,48.75,49.38,48.25,48.88,2400800,3.33
1/20/1984,48.13,48.88,47.25,48.75,4487200,3.32
1/19/1984,49.25,49.5,48.13,48.13,2153600,3.28
1/18/1984,49.75,49.88,48.13,49.25,4591200,3.35
1/17/1984,49.75,49.88,49.38,49.75,1148000,3.39
1/16/1984,50.38,50.38,49.25,49.75,3152000,3.39
1/13/1984,50.13,50.75,50,50.38,3139200,3.4
1/12/1984,49.38,50.5,49.38,50.13,2403200,3.39
1/11/1984,49.38,49.75,49,49.38,1858400,3.34
1/10/1984,49.13,50.13,48.88,49.38,2710400,3.34
1/9/1984,48.63,49.5,48.5,49.13,2581600,3.32
1/6/1984,49,49,48.38,48.63,1853600,3.29
1/5/1984,48.75,49.88,48.75,49,3994400,3.31
1/4/1984,46,48.75,46,48.5,2516000,3.28
1/3/1984,47.13,47.13,45.88,45.88,1042400,3.1
12/30/1983,47.38,47.75,47.13,47.25,669600,3.19
12/29/1983,47.38,47.63,47.13,47.38,872000,3.2
12/28/1983,48.5,48.5,47.38,47.38,794400,3.2
12/27/1983,48.25,48.5,48.13,48.5,880000,3.28
12/23/1983,48.38,48.38,48.13,48.25,1348800,3.26
12/22/1983,48,48.5,48,48.38,2510400,3.27
12/21/1983,47.63,48.13,47.13,47.88,2216000,3.23
12/20/1983,47.75,48.25,47.38,47.63,1276000,3.22
12/19/1983,47,48.25,47,47.75,1256800,3.23
12/16/1983,47.25,47.25,46.38,47,2064800,3.18
12/15/1983,47.5,47.63,47.38,47.5,2280800,3.21
12/14/1983,47.75,48,47.38,47.5,1179200,3.21
12/13/1983,46.88,48,46.75,47.75,2517600,3.23
12/12/1983,47.5,47.5,46.63,46.88,1173600,3.17
12/9/1983,47.75,47.75,47.25,47.5,2382400,3.21
12/8/1983,47.75,48.75,47.5,48.13,4588800,3.25
12/7/1983,46.38,47.75,46.38,47.75,3550400,3.23
12/6/1983,46.38,47,46.38,46.38,2259200,3.13
12/5/1983,45.38,46.5,45,46.13,2247200,3.12
12/2/1983,44.5,45.5,44.38,45.38,1451200,3.07
12/1/1983,44.75,45.13,44.38,44.5,1651200,3.01
11/30/1983,44.38,45,44.13,44.75,2271200,3.02
11/29/1983,43.88,44.38,43.88,44.38,1155200,3
11/28/1983,44.38,44.38,43.75,43.88,1642400,2.96
11/25/1983,44,44.38,44,44.38,1280800,3
11/23/1983,44,44,43.63,43.88,1944800,2.96
11/22/1983,44,44.25,43.75,44,2688800,2.97
11/21/1983,43.25,44,42.5,44,3096000,2.97
11/18/1983,43.5,43.5,42.75,43.25,1098400,2.92
11/17/1983,42.75,43.88,42.38,43.75,3701600,2.96
11/16/1983,42.75,43.13,42.5,42.75,1009600,2.89
11/15/1983,43.5,43.5,42.13,42.75,1552800,2.89
11/14/1983,44,44.38,43.5,43.63,1722400,2.95
11/11/1983,43.5,44.13,43.5,44,888800,2.97
11/10/1983,43.25,43.75,43.25,43.5,1102400,2.94
11/9/1983,42.5,43.5,42.38,43,1207200,2.9
11/8/1983,43.25,43.25,42.25,42.5,1619200,2.87
11/7/1983,42.25,43.5,42.25,43.25,2104800,2.92
11/4/1983,40.63,41.75,40.25,41.75,1184000,2.82
11/3/1983,40.75,41.13,40.63,40.63,1344000,2.74
11/2/1983,39.25,40.88,39.25,40.75,2856000,2.75
11/1/1983,39.13,39.38,38.75,39,3066400,2.63
10/31/1983,39.63,39.63,38.75,39.13,2611200,2.64
10/28/1983,39.63,39.88,39.13,39.63,1020800,2.68
10/27/1983,40.88,41.13,39.5,39.63,2366400,2.68
10/26/1983,41.25,41.5,40.75,40.88,808000,2.76
10/25/1983,40.63,41.5,40.63,41.25,1357600,2.79
10/24/1983,41.13,41.13,40.38,40.63,828800,2.74
10/21/1983,42.13,42.13,40.75,41.25,1476000,2.79
10/20/1983,42.88,42.88,42.13,42.25,705600,2.85
10/19/1983,42.5,43.5,42.13,43,1534400,2.9
